"","phylum","gene","description"
"1973","proteobacteria","FIG00984114","FIG00984115: hypothetical protein"
"1974","proteobacteria","FIG00451192","sugar ABC transporter, periplasmic sugar-binding protein"
"1975","proteobacteria","FIG00451198","High-affnity carbon uptake protein Hat/HatR"
"1976","proteobacteria","FIG00001172","Homogentisate 1,2-dioxygenase (EC 1.13.11.5)"
"1977","proteobacteria","FIG01961621",NA
"1978","proteobacteria","FIG01076375","FIG01076376: hypothetical protein"
"1979","proteobacteria","FIG01639189","VacJ lipoprotein"
"1980","proteobacteria","FIG00483795","sialic acid-specific 9-O-acetylesterase, putative"
"1981","proteobacteria","FIG00463062","ABC transporter binding protein"
"1982","proteobacteria","FIG00149230","CBSS-272943.3.peg.263: hypothetical protein"
"1983","proteobacteria","FIG00443648","6-hydroxynicotinate reductase (EC 1.3.7.1)"
"1984","proteobacteria","FIG00480895","FIG00480896: hypothetical protein"
"1985","proteobacteria","FIG01343007","Bll5899 protein"
"1986","proteobacteria","FIG00794876","FIG00794878: hypothetical protein"
"1987","proteobacteria","FIG00741508","Flagellar protein FlaF"
"1988","proteobacteria","FIG00791990","FIG00791991: hypothetical protein"
"1989","proteobacteria","FIG00481891","HPr kinase/phosphatase-related protein"
"1990","proteobacteria","FIG01492866","FIG00349444: hypothetical protein"
"1991","proteobacteria","FIG00483009","FIG00483010: hypothetical protein"
"1992","proteobacteria","FIG00456584","FIG00456585: hypothetical protein"
"1993","proteobacteria","FIG00482358","FIG00482362: hypothetical protein"
"1994","proteobacteria","FIG00985089","FIG00985090: hypothetical protein"
"1995","proteobacteria","FIG00792640","FIG00792641: hypothetical protein"
"1996","proteobacteria","FIG00452997","FIG00452999: hypothetical protein"
"1997","proteobacteria","FIG00984550","FIG00984551: hypothetical protein"
"1998","proteobacteria","FIG00148627","FIG000868: Homolog of E. coli HemY protein"
"1999","proteobacteria","FIG00059898","Assimilatory nitrate reductase large subunit (EC:1.7.99.4)"
"2000","proteobacteria","FIG00791696","FIG00791697: hypothetical protein"
"2001","proteobacteria","FIG00791690","FIG00791693: hypothetical protein"
"2002","proteobacteria","FIG01006986","Sensory histidine kinase AtoS"
"2003","proteobacteria","FIG01075338","FIG01075340: hypothetical protein"
"2004","proteobacteria","FIG01288841",NA
"2005","proteobacteria","FIG00676502","cytochrome c family protein, putative"
"2006","proteobacteria","FIG01317613","Mll1902 protein"
"2007","proteobacteria","FIG00983843","FIG00983844: hypothetical protein"
"2008","proteobacteria","FIG00005204","Inner membrane component of tripartite multidrug resistance system"
"2009","proteobacteria","FIG01503803","acetyltransferase-like"
"2010","proteobacteria","FIG00976178","Iron(III) dicitrate transport ATP-binding protein fecE"
"2011","proteobacteria","FIG00439679","FIG00439680: hypothetical protein"
"2012","proteobacteria","FIG00952839","RNA polymerase sigma-70 factor, ECF subfamily"
"2013","proteobacteria","FIG00460237","FIG00460238: hypothetical protein"
"2014","proteobacteria","FIG00793861","FIG00793862: hypothetical protein"
"2015","proteobacteria","FIG00482742","FIG00482751: hypothetical protein"
"2016","proteobacteria","FIG00440520",NA
"2017","proteobacteria","FIG00442968","Malic enzyme"
"2018","proteobacteria","FIG00481504","FIG00481507: hypothetical protein"
"2019","proteobacteria","FIG00480974","FIG00480976: hypothetical protein"
"2020","proteobacteria","FIG00791815","ribonuclease II"
"2021","proteobacteria","FIG00454061","FIG00454062: hypothetical protein"
"2022","proteobacteria","FIG00793411","lipopolysaccharide core biosynthesis protein lpsA"
"2023","proteobacteria","FIG00985475","probable alkaline protease secretion ATP-binding protein"
"2024","proteobacteria","FIG01356213","Multidrug resistance protein B"
"2025","proteobacteria","FIG00985293","FIG01073998: hypothetical protein"
"2026","proteobacteria","FIG00983732","FIG00983733: hypothetical protein"
"2027","proteobacteria","FIG00034803","Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1)"
"2028","proteobacteria","FIG00482142","FIG00482144: hypothetical protein"
"2029","proteobacteria","FIG00444596","Ergothioneine biosynthesis protein EgtB"
"2030","proteobacteria","FIG00484021","FIG00484024: hypothetical protein"
"2031","proteobacteria","FIG00001486","; Probable coniferyl aldehyde dehydrogenase (EC 1.2.1.68)"
"2032","proteobacteria","FIG00120233",NA
"2033","proteobacteria","FIG00440286","FIG00440295: hypothetical protein"
"2034","proteobacteria","FIG00440753","FIG00440754: hypothetical protein"
"2035","proteobacteria","FIG00985907","FIG00985908: hypothetical protein"
"2036","proteobacteria","FIG00481207","FIG00481210: hypothetical protein"
"2037","proteobacteria","FIG00537784","putative permease component of branched-chain amino acid transport system"
"2038","proteobacteria","FIG00795368","endo-1,3-1,4-beta-glycanase"
"2039","proteobacteria","FIG00454744","FIG00454745: hypothetical protein"
"2040","proteobacteria","FIG00011155","FIG011155: Zinc carboxypeptidase-related protein"
"2041","proteobacteria","FIG00483285","FIG00483289: hypothetical protein"
"2042","proteobacteria","FIG01346230","L-sorbosone dehydrogenase"
"2043","proteobacteria","FIG00984268","FIG00984270: hypothetical protein"
"2044","proteobacteria","FIG00983975","probable transcriptional regulator protein"
"2045","proteobacteria","FIG00984265","FIG00984266: hypothetical protein"
"2046","proteobacteria","FIG00460094","FIG00460095: hypothetical protein"
"2047","proteobacteria","FIG01311223",NA
"2048","proteobacteria","FIG01004251","Dimethylhistidine N-methyltransferase"
"2049","proteobacteria","FIG00482494","FIG00482495: hypothetical protein"
"2050","proteobacteria","FIG00004180","Magnesium and cobalt transport protein CorA"
"2051","proteobacteria","FIG00457158","FIG00457159: hypothetical protein"
"2052","proteobacteria","FIG01390869","Hydroxyproline dehydratase putative"
"2053","proteobacteria","FIG00149189","Particulate methane monooxygenase B-subunit (EC 1.14.13.25)"
"2054","proteobacteria","FIG01075753","conserved hypothetical membrane-anchored protein"
"2055","proteobacteria","FIG00771429","FIG00771430: hypothetical protein"
"2056","proteobacteria","FIG01007503","Bll7160 protein"
"2057","proteobacteria","FIG00581566","FIG00581576: hypothetical protein"
"2058","proteobacteria","FIG00483085","FIG00483086: hypothetical protein"
"2059","proteobacteria","FIG00483081","FIG00483084: hypothetical protein"
"2060","proteobacteria","FIG00481817","FIG00481819: hypothetical protein"
"2061","proteobacteria","FIG01009104","UPF0313 protein RPA0679"
"2062","proteobacteria","FIG00794693","FIG00794694: hypothetical protein"
"2063","proteobacteria","FIG00794699","FIG00794701: hypothetical protein"
"2064","proteobacteria","FIG00799111","Methanol dehydrogenase regulatory protein MoxR"
"2065","proteobacteria","FIG00791628",NA
"2066","proteobacteria","FIG00052904","Serine protein kinase (prkA protein), P-loop containing"
"2067","proteobacteria","FIG00483504","FIG00483510: hypothetical protein"
"2068","proteobacteria","FIG00791612","FIG00791613: hypothetical protein"
"2069","proteobacteria","FIG00480744","FIG00480745: hypothetical protein"
"2070","proteobacteria","FIG00677231","ADP-ribosyl-[dinitrogen reductase] glycohydrolase (EC 3.2.2.24)"
"2071","proteobacteria","FIG01004434","FIG01004436: hypothetical protein"
"2072","proteobacteria","FIG01006131","Bll0692 protein"
"2073","proteobacteria","FIG00475203","Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)"
"2074","proteobacteria","FIG00458740","FIG00458741: hypothetical protein"
"2075","proteobacteria","FIG00001963","Uncharacterized protein ImpF"
"2076","proteobacteria","FIG00138354","Alkanesulfonates transport system permease protein"
"2077","proteobacteria","FIG00458982","FIG00458983: hypothetical protein"
"2078","proteobacteria","FIG00481052","FIG00481053: hypothetical protein"
"2079","proteobacteria","FIG01321856","transcription regulator, MerR family"
"2080","proteobacteria","FIG00791893","FIG00791894: hypothetical protein"
"2081","proteobacteria","FIG00695718","FIG00695719: hypothetical protein"
"2082","proteobacteria","FIG00794063","FIG00794064: hypothetical protein"
"2083","proteobacteria","FIG00441022","FIG00441023: hypothetical protein"
"2084","proteobacteria","FIG00793499","FIG00793500: hypothetical protein"
"2085","proteobacteria","FIG00793495","FIG00793497: hypothetical protein"
"2086","proteobacteria","FIG01374565","2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.n4)"
"2087","proteobacteria","FIG00793236","FIG00793237: hypothetical protein"
"2088","proteobacteria","FIG00440048","FIG00887518: hypothetical protein"
"2089","proteobacteria","FIG00440046","FIG00440048: hypothetical protein"
"2090","proteobacteria","FIG00537997","FIG00537998: hypothetical protein"
"2091","proteobacteria","FIG00481622","FIG00481630: hypothetical protein"
"2092","proteobacteria","FIG00481620","Probable lysozyme (EC 3.2.1.17) (Lysis protein) (Muramidase) (Endolysin) (P13)"
"2093","proteobacteria","FIG00932467","FIG00932469: hypothetical protein"
"2094","proteobacteria","FIG00455675","FIG00455677: hypothetical protein"
"2095","proteobacteria","FIG00983967","FIG00363170: hypothetical protein"
"2096","proteobacteria","FIG00793673","FIG00793678: hypothetical protein"
"2097","proteobacteria","FIG01354733","Transcriptional regulator ptxR"
"2098","proteobacteria","FIG00852988","FIG00852990: hypothetical protein"
"2099","proteobacteria","FIG00482029","FIG00482031: hypothetical protein"
"2100","proteobacteria","FIG00440208","FIG00440209: hypothetical protein"
"2101","proteobacteria","FIG01330633","Sodium/hydrogen exchanger"
"2102","proteobacteria","FIG00482064","FIG00482069: hypothetical protein"
"2103","proteobacteria","FIG00444234","FIG00444235: hypothetical protein"
"2104","proteobacteria","FIG01529466","Putative cytochrome c, associated with quino(hemo)protein alcohol dehydrogenase"
"2105","proteobacteria","FIG00442177","Bll8136 protein"
"2106","proteobacteria","FIG00481439","FIG00481442: hypothetical protein"
"2107","proteobacteria","FIG01308316","Virulence factor mviM"
"2108","proteobacteria","FIG00794451","FIG00794455: hypothetical protein"
"2109","proteobacteria","FIG01567901","probable lipase/esterase"
"2110","proteobacteria","FIG00464314","FIG00464316: hypothetical protein"
"2111","proteobacteria","FIG00983365","FIG00983366: hypothetical protein"
"2112","proteobacteria","FIG00461455","FIG00461456: hypothetical protein"
"2113","proteobacteria","FIG00975640","FIG00975641: hypothetical protein"
"2114","proteobacteria","FIG00453958","FIG00453960: hypothetical protein"
"2115","proteobacteria","FIG00004109","L-arabinose transport system permease protein (TC 3.A.1.2.2)"
"2116","proteobacteria","FIG00003684","Propanediol dehydratase large subunit (EC 4.2.1.28)"
"2117","proteobacteria","FIG01004837","Bsl8023 protein"
"2118","proteobacteria","FIG00853015","glycosyl transferase, group 1"
"2119","proteobacteria","FIG00085182","NAD-dependent formate dehydrogenase alpha subunit"
"2120","proteobacteria","FIG01005870","FIG01005871: hypothetical protein"
"2121","proteobacteria","FIG01076425","FIG01076428: hypothetical protein"
"2122","proteobacteria","FIG00687717","Dipeptide transport system permease protein dppC"
"2123","proteobacteria","FIG00482084","FIG00482085: hypothetical protein"
"2124","proteobacteria","FIG00493306","phospholipase D family protein"
"2125","proteobacteria","FIG01367139","Methanol utilization control regulatory protein MoxX"
"2126","proteobacteria","FIG00049580","2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)"
"2127","proteobacteria","FIG00439478","FIG00439479: hypothetical protein"
"2128","proteobacteria","FIG00482552","FIG00482554: hypothetical protein"
"2129","proteobacteria","FIG00984931","FIG00984932: hypothetical protein"
"2130","proteobacteria","FIG00984939","NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2)"
"2131","proteobacteria","FIG00445283","FIG00445285: hypothetical protein"
"2132","proteobacteria","FIG00444880","FIG00444883: hypothetical protein"
"2133","proteobacteria","FIG01544393","Putative enzyme of poly-gamma-glutamate biosynthesis (capsule formation)"
"2134","proteobacteria","FIG00458796","Two-component hybrid sensor and regulator"
"2135","proteobacteria","FIG00459447","FIG00459448: hypothetical protein"
"2136","proteobacteria","FIG00794551","FIG00794552: hypothetical protein"
"2137","proteobacteria","FIG00794550","FIG00794551: hypothetical protein"
"2138","proteobacteria","FIG00793521","weak similarity to phospholipase"
"2139","proteobacteria","FIG00022875","3-oxoacyl-[ACP] synthase"
"2140","proteobacteria","FIG01389912","Bll0507 protein"
"2141","proteobacteria","FIG01504436","Putative subunit of hydroxybenzoyl reductase"
"2142","proteobacteria","FIG01005247","FIG01005248: hypothetical protein"
"2143","proteobacteria","FIG00133923","Anthranilate synthase, aminase component (EC 4.1.3.27) / Anthranilate synthase, amidotransferase component (EC 4.1.3.27)"
"2144","proteobacteria","FIG00481104","FIG00481105: hypothetical protein"
"2145","proteobacteria","FIG01075653",NA
"2146","proteobacteria","FIG00460453","FIG00460457: hypothetical protein"
"2147","proteobacteria","FIG00059366","Adenosylhopane nucleosidase, HpnG"
"2148","proteobacteria","FIG00000959","Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)"
"2149","proteobacteria","FIG00001647","Maltodextrin glucosidase (EC 3.2.1.20)"
"2150","proteobacteria","FIG00031184","Xanthan biosynthesis glycosyltransferase GumM"
"2151","proteobacteria","FIG00795049","FIG00795050: hypothetical protein"
"2152","proteobacteria","FIG00794791","FIG00794792: hypothetical protein"
"2153","proteobacteria","FIG00794792","FIG00794793: hypothetical protein"
"2154","proteobacteria","FIG00977881","FIG00977882: hypothetical protein"
"2155","proteobacteria","FIG01374069","Sugar phosphate isomerases/epimerases"
"2156","proteobacteria","FIG00480952","FIG00480953: hypothetical protein"
"2157","proteobacteria","FIG00481335","FIG00481336: hypothetical protein"
"2158","proteobacteria","FIG00440592","FIG00440594: hypothetical protein"
"2159","proteobacteria","FIG00483790","FIG00483792: hypothetical protein"
"2160","proteobacteria","FIG01534228","gamma-BHC dehydrochlorinase"
"2161","proteobacteria","FIG00985837","FIG00985838: hypothetical protein"
"2162","proteobacteria","FIG01006821","FIG01006823: hypothetical protein"
"2163","proteobacteria","FIG00447017","bll1202; hypothetical protein"
"2164","proteobacteria","FIG00482441","FIG00482442: hypothetical protein"
"2165","proteobacteria","FIG00482449","FIG00482450: hypothetical protein"
"2166","proteobacteria","FIG00457500","Putative FAD dependent oxidoreductase"
"2167","proteobacteria","FIG00455908","Bona fide RidA/YjgF/TdcF/RutC subgroup"
"2168","proteobacteria","FIG01006072","FIG01006073: hypothetical protein"
"2169","proteobacteria","FIG00455012","FIG00455013: hypothetical protein"
"2170","proteobacteria","FIG00455105","FIG00455106: hypothetical protein"
"2171","proteobacteria","FIG00007297","NAD-reducing hydrogenase subunit HoxH (EC 1.12.1.2)"
"2172","proteobacteria","FIG01210205","FIG01210206: hypothetical protein"
"2173","proteobacteria","FIG01934154","FIG00794477: hypothetical protein"
"2174","proteobacteria","FIG00516172","two-component sensor histidine kinase"
"2175","proteobacteria","FIG00794607","FIG00794609: hypothetical protein"
"2176","proteobacteria","FIG00792443","opine/polyamine ABC transporter, periplasmic substrate-binding protein"
"2177","proteobacteria","FIG00441346","FIG01004475: hypothetical protein"
"2178","proteobacteria","FIG00792806","FIG00792807: hypothetical protein"
"2179","proteobacteria","FIG01283651",NA
"2180","proteobacteria","FIG00793932","FIG00793933: hypothetical protein"
"2181","proteobacteria","FIG00793815","FIG00793820: hypothetical protein"
"2182","proteobacteria","FIG01198516","FIG01198523: hypothetical protein"
"2183","proteobacteria","FIG00984168","periplasmic ribose-binding protein, sugar ABC transporter"
"2184","proteobacteria","FIG00445008","FIG01004535: hypothetical protein"
"2185","proteobacteria","FIG01007739","FIG01007742: hypothetical protein"
"2186","proteobacteria","FIG00001142","ApaG protein"
"2187","proteobacteria","FIG00138225","Acetyl-CoA acetyltransferase (EC 2.3.1.9) @ Beta-ketoadipyl CoA thiolase (EC 2.3.1.-)"
"2188","proteobacteria","FIG00603847","Smr family protein"
"2189","proteobacteria","FIG00482489","FIG00482491: hypothetical protein"
"2190","proteobacteria","FIG00482106","FIG00482108: hypothetical protein"
"2191","proteobacteria","FIG00440320","Putative multidrug resistance efflux pump protein"
"2192","proteobacteria","FIG00091204","Transmembrane regulator protein PrtR"
"2193","proteobacteria","FIG00481483","FIG00481484: hypothetical protein"
"2194","proteobacteria","FIG00795287","FIG00795288: hypothetical protein"
"2195","proteobacteria","FIG01414870","RNA-binding region RNP-1"
"2196","proteobacteria","FIG00791960","FIG00791963: hypothetical protein"
"2197","proteobacteria","FIG00984765","MFS permease"
"2198","proteobacteria","FIG01775133","CheE protein"
"2199","proteobacteria","FIG00792612","FIG00792613: hypothetical protein"
"2200","proteobacteria","FIG00443889","Luciferase-like"
"2201","proteobacteria","FIG00974652","response regulator, NarL-family"
"2202","proteobacteria","FIG00985457","FIG00985458: hypothetical protein"
"2203","proteobacteria","FIG01318953","ABC-type sugar transport system, ATPase component"
"2204","proteobacteria","FIG01073884","ATP-binding protein of ABC transporter"
"2205","proteobacteria","FIG00034973","2-dehydropantoate 2-reductase (EC 1.1.1.169)"
"2206","proteobacteria","FIG00022199","FIG022199: FAD-binding protein"
"2207","proteobacteria","FIG00457548","FIG00457549: hypothetical protein"
"2208","proteobacteria","FIG00136215","Formylmethanofuran dehydrogenase (tungsten) subunit C (EC 1.2.99.5)"
"2209","proteobacteria","FIG00983816","FIG00983817: hypothetical protein"
"2210","proteobacteria","FIG01427834","sugar isomerase"
"2211","proteobacteria","FIG01259652","FIG00983573: hypothetical protein"
"2212","proteobacteria","FIG01005449","ABC transporter, duplicated ATPase domains"
"2213","proteobacteria","FIG01031038","Hydrolase, haloacid delahogenase-like family"
"2214","proteobacteria","FIG01363791","Ferripyochelin binding protein-like"
"2215","proteobacteria","FIG00139433","Formate hydrogenlyase subunit 5"
"2216","proteobacteria","FIG00793721","FIG00793725: hypothetical protein"
"2217","proteobacteria","FIG00793725","FIG00793727: hypothetical protein"
"2218","proteobacteria","FIG00461110","FIG00461112: hypothetical protein"
"2219","proteobacteria","FIG01554089","PROTEIN YBIS PRECURSOR"
"2220","proteobacteria","FIG00792452","FIG00792453: hypothetical protein"
"2221","proteobacteria","FIG00792458",NA
"2222","proteobacteria","FIG00687328","Large protein containing transglutaminase-like domain"
"2223","proteobacteria","FIG00440515","FIG00440518: hypothetical protein"
"2224","proteobacteria","FIG00442913","FIG00442914: hypothetical protein"
"2225","proteobacteria","FIG00015638","Formylmethanofuran dehydrogenase subunit B (EC 1.2.99.5)"
"2226","proteobacteria","FIG00446320","Mll2313 protein"
"2227","proteobacteria","FIG00059476","Acyl-homoserine lactone acylase PvdQ (EC 3.5.1.-), quorum-quenching"
"2228","proteobacteria","FIG00459560","FIG00459563: hypothetical protein"
"2229","proteobacteria","FIG01653721","FIG00349188: hypothetical protein"
"2230","proteobacteria","FIG00793441","FIG00793442: hypothetical protein"
"2231","proteobacteria","FIG00483580","FIG00483583: hypothetical protein"
"2232","proteobacteria","FIG01141662","Protein serine-threonine phosphatase"
"2233","proteobacteria","FIG01435550","Bll7352 protein"
"2234","proteobacteria","FIG01515727","Major facilitator superfamily protein"
"2235","proteobacteria","FIG00974022","FIG00974024: hypothetical protein"
"2236","proteobacteria","FIG00457938","FIG00457940: hypothetical protein"
"2237","proteobacteria","FIG01007348","FIG01007350: hypothetical protein"
"2238","proteobacteria","FIG00481901","FIG00481902: hypothetical protein"
"2239","proteobacteria","FIG01458640","Possible membrane efflux protein"
"2240","proteobacteria","FIG00004951","Nitrogenase (molybdenum-iron)-specific transcriptional regulator NifA"
"2241","proteobacteria","FIG00432167","FIG00432169: hypothetical protein"
"2242","proteobacteria","FIG00481272","FIG00481273: hypothetical protein"
"2243","proteobacteria","FIG00440700","FIG00440701: hypothetical protein"
"2244","proteobacteria","FIG00482021","FIG00482027: hypothetical protein"
"2245","proteobacteria","FIG00626701","Trans-aconitate 2-methyltransferase (EC 2.1.1.144)"
"2246","proteobacteria","FIG00481186","FIG00481187: hypothetical protein"
"2247","proteobacteria","FIG00447280","bll3990; hypothetical protein"
"2248","proteobacteria","FIG00457261","FIG00457263: hypothetical protein"
"2249","proteobacteria","FIG00945780","Putative 2Fe-2S ferredoxin CbiW involved in B12 biosynthesis"
"2250","proteobacteria","FIG00453214","FIG00453215: hypothetical protein"
"2251","proteobacteria","FIG00984257",NA
"2252","proteobacteria","FIG00441421","putative Rare lipoprotein A"
"2253","proteobacteria","FIG01005674","FIG01005675: hypothetical protein"
"2254","proteobacteria","FIG00455117","L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1) / Osmotic adaptation"
"2255","proteobacteria","FIG00456495","FIG00456497: hypothetical protein"
"2256","proteobacteria","FIG01776620","probable cytochrome c'"
"2257","proteobacteria","FIG00668376",NA
"2258","proteobacteria","FIG00480809","FIG00480811: hypothetical protein"
"2259","proteobacteria","FIG00138111","Nitrate reductase cytochrome c550-type subunit"
"2260","proteobacteria","FIG00483343","FIG00483344: hypothetical protein"
"2261","proteobacteria","FIG01503497","cheU protein"
"2262","proteobacteria","FIG00461527","FIG00461530: hypothetical protein"
"2263","proteobacteria","FIG00007157","Alpha-N-arabinofuranosidase (EC 3.2.1.55)"
"2264","proteobacteria","FIG00444664","protein of unknown function DUF463, YcjX-like protein"
"2265","proteobacteria","FIG00028179","Formaldehyde activating enzyme"
"2266","proteobacteria","FIG00985025","FIG00985026: hypothetical protein"
"2267","proteobacteria","FIG00985024","FIG00985025: hypothetical protein"
"2268","proteobacteria","FIG00792925","FIG00792933: hypothetical protein"
"2269","proteobacteria","FIG00794376","FIG00794377: hypothetical protein"
"2270","proteobacteria","FIG00794379","FIG00794380: hypothetical protein"
"2271","proteobacteria","FIG00445279","FIG00445281: hypothetical protein"
"2272","proteobacteria","FIG00149128","TesB-like acyl-CoA thioesterase 2"
"2273","proteobacteria","FIG00480696","FIG00480697: hypothetical protein"
"2274","proteobacteria","FIG01124750","ABC-type sugar transport systems, permease components"
"2275","proteobacteria","FIG00984047","FIG00984049: hypothetical protein"
"2276","proteobacteria","FIG01004791","bll2549; hypothetical protein"
"2277","proteobacteria","FIG01004792","bll5333; putative dehydrogenase"
"2278","proteobacteria","FIG00441211","FIG00441216: hypothetical protein"
"2279","proteobacteria","FIG01006108","bll5605; putative quinone oxidoreductase (EC 1.6.5.5)"
"2280","proteobacteria","FIG00480802","FIG00480804: hypothetical protein"
"2281","proteobacteria","FIG00480862","FIG00480864: hypothetical protein"
"2282","proteobacteria","FIG00480867","FIG00480868: hypothetical protein"
"2283","proteobacteria","FIG00480866","FIG00480867: hypothetical protein"
"2284","proteobacteria","FIG01566932","amino acid-binding ACT"
"2285","proteobacteria","FIG00007059","Acriflavin resistance protein"
"2286","proteobacteria","FIG00481553","FIG00481557: hypothetical protein"
"2287","proteobacteria","FIG00443024","FIG00443025: hypothetical protein"
"2288","proteobacteria","FIG01331875","Alkylhydroperoxidase precursor"
"2289","proteobacteria","FIG01372672",NA
"2290","proteobacteria","FIG00440901","FIG00440904: hypothetical protein"
"2291","proteobacteria","FIG00439569","FIG00439572: hypothetical protein"
"2292","proteobacteria","FIG00457402","FIG00457404: hypothetical protein"
"2293","proteobacteria","FIG00792714","FIG00792715: hypothetical protein"
"2294","proteobacteria","FIG00459811","FIG00459815: hypothetical protein"
"2295","proteobacteria","FIG00480989","FIG00480990: hypothetical protein"
"2296","proteobacteria","FIG00984536","FIG00984537: hypothetical protein"
"2297","proteobacteria","FIG00440014","bacterioferritin"
"2298","proteobacteria","FIG00484091","FIG00484094: hypothetical protein"
"2299","proteobacteria","FIG01376386","peptidase S1 and S6, chymotrypsin/Hap"
"2300","proteobacteria","FIG01306889","Hydrogenase maturation factor HoxR"
"2301","proteobacteria","FIG01306888","Archaeal flavoprotein COG1036"
"2302","proteobacteria","FIG00136635","Glutathione S-transferase, unnamed subgroup (EC 2.5.1.18)"
"2303","proteobacteria","FIG01006728","InterPro IPR000727:IPR003660:IPR004089 COGs COG0840"
"2304","proteobacteria","FIG00487751","FIG00487752: hypothetical protein"
"2305","proteobacteria","FIG01319812","Bll5266 protein"
"2306","proteobacteria","FIG00859274","FIG00859276: hypothetical protein"
"2307","proteobacteria","FIG00481473","FIG00481474: hypothetical protein"
"2308","proteobacteria","FIG01004618","Possible asmA protein precursor"
"2309","proteobacteria","FIG01452441","FIG00480706: hypothetical protein"
"2310","proteobacteria","FIG00793602","FIG00793607: hypothetical protein"
"2311","proteobacteria","FIG00792556","FIG00792558: hypothetical protein"
"2312","proteobacteria","FIG00792551","CELL PROCESSES; Transport of small molecules; carbohydrates, organic acids, alcohols"
"2313","proteobacteria","FIG00443256","FIG00443258: hypothetical protein"
"2314","proteobacteria","FIG00442128","FIG00442129: hypothetical protein"
"2315","proteobacteria","FIG00454710","FIG00454712: hypothetical protein"
"2316","proteobacteria","FIG00453294","ABC transporter amino acid-binding protein"
"2317","proteobacteria","FIG01573301","putative solute transport protein"
"2318","proteobacteria","FIG00998060","Protein containing domains DUF404, DUF407, DUF403"
"2319","proteobacteria","FIG00554630","Coenzyme F390 synthetase"
"2320","proteobacteria","FIG01076431","FIG01076433: hypothetical protein"
"2321","proteobacteria","FIG01375821","Activator of osmoprotectant transporter ProP"
"2322","proteobacteria","FIG00973779","FIG00973780: hypothetical protein"
"2323","proteobacteria","FIG00482187","FIG00482188: hypothetical protein"
"2324","proteobacteria","FIG01311947","3-demethylubiquinone-9 3-methyltransferase"
"2325","proteobacteria","FIG01005152","FIG01005153: hypothetical protein"
"2326","proteobacteria","FIG00457108","FIG00457109: hypothetical protein"
"2327","proteobacteria","FIG00080382","Formylmethanofuran--tetrahydromethanopterin N-formyltransferase (EC 2.3.1.101)"
"2328","proteobacteria","FIG01005841",NA
"2329","proteobacteria","FIG00454454","FIG00454455: hypothetical protein"
"2330","proteobacteria","FIG00008708","NADH dehydrogenase (EC 1.6.99.3)"
"2331","proteobacteria","FIG00002272","Predicted transcriptional regulator of the myo-inositol catabolic operon"
"2332","proteobacteria","FIG00460611","FIG00460612: hypothetical protein"
"2333","proteobacteria","FIG00001771","Nickel responsive regulator NikR"
"2334","proteobacteria","FIG00001193","Flagellar protein FlgJ [peptidoglycan hydrolase] (EC 3.2.1.-)"
"2335","proteobacteria","FIG00001197","RNA polymerase sigma factor RpoS"
"2336","proteobacteria","FIG00000827","Cell division topological specificity factor MinE"
"2337","proteobacteria","FIG00787068","Class II aldolase/adducin, N-terminal"
"2338","proteobacteria","FIG00483164","FIG00483168: hypothetical protein"
"2339","proteobacteria","FIG00794666","FIG00794667: hypothetical protein"
"2340","proteobacteria","FIG00439481","FIG00439483: hypothetical protein"
"2341","proteobacteria","FIG01667494","Tannase and feruloyl esterase"
"2342","proteobacteria","FIG01004713","FIG01004714: hypothetical protein"
"2343","proteobacteria","FIG01304277",NA
"2344","proteobacteria","FIG00012359","EcsC protein"
"2345","proteobacteria","FIG00792071","FIG00792072: hypothetical protein"
"2346","proteobacteria","FIG00433451","FIG00433453: hypothetical protein"
"2347","proteobacteria","FIG00458764","FIG00458767: hypothetical protein"
"2348","proteobacteria","FIG01314867",NA
"2349","proteobacteria","FIG00454696","FIG00454697: hypothetical protein"
"2350","proteobacteria","FIG00538064","sulfate transporter/antisigma-factor antagonist STAS"
"2351","proteobacteria","FIG01326130","Hypothetical membrane protein Rv2120c"
"2352","proteobacteria","FIG00441290","COGs COG0683"
"2353","proteobacteria","FIG00441294","FIG00441296: hypothetical protein"
"2354","proteobacteria","FIG00659720","ergothioneine biosynthesis protein EgtB"
"2355","proteobacteria","FIG01005739","Bll3041 protein"
"2356","proteobacteria","FIG00455255","Acriflavin resistance plasma membrane protein"
"2357","proteobacteria","FIG00745400","Lipase/esterase"
"2358","proteobacteria","FIG00482520","FIG00482521: hypothetical protein"
"2359","proteobacteria","FIG01005299","FIG01005301: hypothetical protein"
"2360","proteobacteria","FIG00480988","FIG00480989: hypothetical protein"
"2361","proteobacteria","FIG00138385","Probable cytochrome c2"
"2362","proteobacteria","FIG00167295","General secretion pathway protein F"
"2363","proteobacteria","FIG01934496","transglutaminase, N-terminal domain protein"
"2364","proteobacteria","FIG01556843","Putative Rieske (2Fe-2S) family oxidoreductase, large subunit"
"2365","proteobacteria","FIG00442378","FIG00442381: hypothetical protein"
